OperatorName,Entity,Lon,Lat,DateProductionStart,PerfIntervalGross_CLEAN,PerfIntervalGross,LBS_FT_CLEAN,BBL_FT_CLEAN,Spacing_Avg,GOR_6M,LBS_GAL,IPLiquid,CUM6Liquid,CUM12Liquid
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200107635H,-97.879726,28.992492,6/1/2014,5757,5757,1834,23,637,668,1.94,15375,87793,102412
MURPHY EXPLORATION & PRODUCTION CO-U,1420200096179H,-97.8911,28.93782,5/1/2015,3866,3866,1658,42,749,421,0.94,12956,62482,102481
EOG RESOURCES INCORPORATED,1420200099103H,-97.752361,29.065889,4/1/2012,3813,3813,1508,19,591,1417,1.92,35612,85389,102734
MURPHY EXPLORATION & PRODUCTION CO-U,1420200100002H,-97.817386,28.990144,11/1/2012,4759,4759,798,0,544,690,101.36,12007,64337,103114
MURPHY EXPLORATION & PRODUCTION CO-U,1420200104852H,-97.903206,28.928669,5/1/2014,3192,3192,1653,56,568,965,0.71,16345,73970,103525
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200104953H,-97.852092,28.989085,6/1/2013,5020,5020,727,18,386,770,0.98,23353,81720,104084
MURPHY EXPLORATION & PRODUCTION CO-U,1420200109312H,-97.93352,28.95927,3/1/2015,4524,4524,1648,43,389,917,0.92,18823,78769,104915
MURPHY EXPLORATION & PRODUCTION CO-U,1420200106842H,-97.814714,28.992881,4/1/2014,4958,4958,1318,40,494,737,0.78,16882,70548,105422
BURLINGTON RESOURCES O&G CO LP,1.42E+12,-97.729002,29.046853,4/1/2015,5001,5001,1493,23,636,957,1.57,16984,71514,105460
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200104954H,-97.852064,28.989117,6/1/2013,4894,4894,667,17,436,797,0.96,23777,83397,106634
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200102542H,-97.895467,28.97826,5/1/2014,6480,6480,657,15,474,711,1.01,3728,36503,106986
BURLINGTON RESOURCES O&G CO LP,1.42E+12,-97.943967,28.918889,10/1/2014,3990,3990,1517,23,677,1022,1.58,15147,66953,107010
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200103193H,-97.833006,29.032406,7/1/2013,4298,4298,583,14,469,1024,0.99,13401,73188,107142
MURPHY EXPLORATION & PRODUCTION CO-U,1420200107173H,-97.812128,28.977239,2/1/2014,4226,4226,1362,44,357,660,0.73,20864,78881,107298
